[Debug] Encriptando bloques (archivo original: 11450 bytes):
[Block 176] IN: V0=0x61626120, V1=0x6D656E6F -> C0=0x1B32D573, C1=0x6B1FC498
[Block 177] IN: V0=0x73207175, V1=0x6520656C -> C0=0x9F07B851, C1=0x10D4C326
[Block 178] IN: V0=0x20726965, V1=0x73676F20 -> C0=0xE2F82E04, C1=0x074BCAA0
[Block 179] IN: V0=0x64652071, V1=0x75652065 -> C0=0x80F0CC98, C1=0x05DE6DBB
[Block 180] IN: V0=0x6E206F74, V1=0x72617320 -> C0=0x2D98408C, C1=0x776F1576
[Block 181] IN: V0=0x70617274, V1=0x65732063 -> C0=0x0C8DA68B, C1=0xAFA9642D
[Block 182] IN: V0=0x72657965, V1=0x72616E20 -> C0=0x3B1C6EA3, C1=0xB204BDF0
[Block 183] IN: V0=0x71756520, V1=0x7573616D -> C0=0xA12B9BE0, C1=0xF84F8B22
[Block 184] IN: V0=0x6F732070, V1=0x6C756D61 -> C0=0xDD1CD53A, C1=0x4B7DABDE
[Block 185] IN: V0=0x733B2076, V1=0x656E6572 -> C0=0x86FED3EE, C1=0xF433D297
[Block 186] IN: V0=0x61626120, V1=0x61204672 -> C0=0x00AC3EF4, C1=0x124EF7A2
[Block 187] IN: V0=0x616E6369, V1=0x61207065 -> C0=0x7C5C765C, C1=0x688DE5A6
[Block 188] IN: V0=0x726F206D, V1=0x656E6F73 -> C0=0x42D60075, C1=0x2BC24E1D
[Block 189] IN: V0=0x70726563, V1=0x69616261 -> C0=0xE0065B97, C1=0x9DF4849C
[Block 190] IN: V0=0x2061206C, V1=0x6F732066 -> C0=0xE37073B5, C1=0x14900203
[Block 191] IN: V0=0x72616E63, V1=0x65736573 -> C0=0xE3DBCF20, C1=0xC5BC4D23
[Block 192] IN: V0=0x3B207465, V1=0x6EC3AD61 -> C0=0x2BECAB20, C1=0x37158350
[Block 193] IN: V0=0x20656E20, V1=0x706F636F -> C0=0x446D64E5, C1=0xF09F8DF3
[Block 194] IN: V0=0x2061206C, V1=0x6F732061 -> C0=0x66F4F4B3, C1=0xCB125288
[Block 195] IN: V0=0x6D657269, V1=0x63616E6F -> C0=0x09740DB8, C1=0xF07B9985
[Block 196] IN: V0=0x732C2070, V1=0x65726F20 -> C0=0x94B44CCF, C1=0x4A8A179E
[Block 197] IN: V0=0x6170726F, V1=0x62616261 -> C0=0xD00C8A3B, C1=0xA9B582A9
[Block 198] IN: V0=0x20656C20, V1=0x68656368 -> C0=0x7648A618, C1=0x87B8C67D
[Block 199] IN: V0=0x6F206465, V1=0x20717565 -> C0=0xCE302EB3, C1=0xF62C61CB
[Block 200] IN: V0=0x20687562, V1=0x69657261 -> C0=0x4638E28A, C1=0x112661E9
[Block 201] IN: V0=0x20726173, V1=0x63616369 -> C0=0x9703251C, C1=0xA0CC703C
[Block 202] IN: V0=0x656C6F73, V1=0x20656E20 -> C0=0x3166492E, C1=0x843823B9
